customer_id,signup_date,age,gender,country,annual_income,membership,monthly_spend,num_orders,height_cm,satisfaction,email,last_purchase_date,churned
C0001,2022-02-24,42,Male,Saudi Arabia,28800.0,Bronze,137.11,2,178.9,5,user0000@demo.org,2022-03-28,0
C0002,2021-09-09,26,Male,Jordan,53900.0,Gold,326.62,5,183.3,4,user0001@mail.test,2021-12-15,0
C0003,2021-06-14,47,Female,Morocco,23200.0,Bronze,110.29,2,167.1,5,user0002@demo.org,2021-12-11,0
C0004,2023-12-15,49,Female,United States,50600.0,Gold,384.17,5,166.5,2,user0003@demo.org,2024-05-10,1
C0005,2021-05-22,18,Male,Jordan,36500.0,Silver,74.53,2,183.8,5,user0004@demo.org,2021-08-05,0
C0006,2023-02-13,22,Female,Algeria,26500.0,Bronze,183.3,2,167.9,3,user0005@mail.test,2023-07-04,1
C0007,2023-02-25,40,Male,Jordan,40400.0,Silver,89.93,3,173.4,3,user0006@example.com,2023-07-09,0
C0008,2022-11-08,34,Male,Morocco,29400.0,Bronze,166.44,5,175.1,4,user0007@example.com,2023-06-06,1
C0009,2023-09-26,38,Female,Egypt,24800.0,Bronze,85.87,3,170.0,5,user0008@mail.test,2024-05-08,0
C0010,2021-01-06,28,Female,Morocco,31500.0,Silver,139.57,5,170.8,2,user0009@demo.org,2021-12-25,1
C0011,2021-11-27,49,Female,Morocco,26600.0,Bronze,97.6,2,163.6,3,user0010@demo.org,2022-10-15,0
C0012,2021-07-21,47,Female,United States,49800.0,Silver,254.44,4,166.3,4,user0011@example.com,2021-11-15,1
C0013,2022-09-24,39,Female,France,24100.0,Bronze,185.18,3,166.6,3,user0012@mail.test,2023-09-20,0
C0014,2022-11-27,52,Male,France,61500.0,Gold,100.45,3,179.0,4,user0013@demo.org,2023-06-23,0
C0015,2023-09-11,44,Female,Algeria,24700.0,Bronze,75.73,4,166.4,5,user0014@example.com,2023-11-25,0
C0016,2022-02-20,28,Female,France,28600.0,Bronze,65.1,1,154.0,4,user0015@mail.test,2022-07-06,1
C0017,2021-09-16,42,Female,Jordan,31300.0,Silver,55.55,4,174.1,3,user0016@demo.org,2022-07-09,0
C0018,2023-10-10,26,Male,Morocco,65900.0,Gold,295.05,8,179.4,2,user0017@example.com,2024-09-02,0
C0019,2023-01-07,49,Female,Egypt,50700.0,Gold,72.59,13,158.9,3,user0018@example.com,2023-06-06,0
C0020,2023-04-18,37,Female,United States,36200.0,Silver,185.88,8,155.8,3,user0019@mail.test,2023-06-20,0
C0021,2022-05-03,36,Male,Jordan,49400.0,Silver,107.44,5,163.2,4,user0020@demo.org,2022-07-19,0
C0022,2022-05-05,30,Female,Morocco,14600.0,Bronze,238.48,3,160.3,4,user0021@example.com,2022-06-16,0
C0023,2022-03-03,53,Female,Saudi Arabia,44100.0,Silver,494.01,3,164.0,3,user0022@demo.org,2022-12-07,1
C0024,2023-04-01,36,Female,United States,97000.0,Silver,5.38,7,166.5,5,user0023@example.com,2023-10-19,0
C0025,2021-08-19,33,Female,Morocco,40900.0,Silver,76.1,3,158.6,3,user0024@mail.test,2022-02-16,0
C0026,2023-12-05,34,Female,Saudi Arabia,40100.0,Silver,99.42,2,155.3,3,user0025@mail.test,2024-08-30,1
C0027,2021-07-12,44,Male,Algeria,53800.0,Bronze,140.78,11,182.2,4,user0026@example.com,2022-06-08,0
C0028,2022-05-20,42,Female,United States,62000.0,Gold,141.34,6,158.8,4,user0027@demo.org,2023-04-03,0
C0029,2021-12-11,43,Female,Egypt,17000.0,Bronze,39.17,4,162.9,5,user0028@demo.org,2022-02-04,0
C0030,2022-12-05,43,Female,Jordan,19600.0,Bronze,415.49,2,153.9,4,user0029@demo.org,2023-07-29,1
C0031,2023-01-16,64,Male,Egypt,53300.0,Gold,137.56,6,172.5,5,user0030@example.com,2024-01-04,0
C0032,2023-10-03,33,Male,Jordan,27900.0,Bronze,190.25,0,166.4,3,user0031@mail.test,2024-08-07,0
C0033,2023-05-15,32,Female,Egypt,69000.0,Gold,256.85,3,165.6,5,user0032@demo.org,2023-09-24,0
C0034,2021-09-30,28,Female,United States,32000.0,Silver,35.03,6,157.3,5,user0033@example.com,2022-03-06,1
C0035,2021-08-15,45,Female,Egypt,17700.0,Bronze,94.9,2,155.0,5,user0034@mail.test,2022-08-06,0
C0036,2023-08-29,52,Female,Egypt,25200.0,Bronze,222.65,5,162.1,2,user0035@mail.test,2023-09-12,0
C0037,2022-06-19,37,Female,Algeria,11600.0,Bronze,296.86,2,165.4,3,user0036@mail.test,2023-01-15,0
C0038,2021-04-17,28,Female,Morocco,33200.0,Silver,109.19,6,164.4,4,user0037@mail.test,2021-06-03,0
C0039,2023-06-23,28,Male,Morocco,33900.0,Silver,42.46,4,173.6,1,user0038@demo.org,2024-06-14,0
C0040,2022-12-12,46,Female,Egypt,35300.0,Silver,89.52,3,163.8,4,user0039@example.com,2022-12-28,0
C0041,2021-01-29,47,Female,France,69900.0,Gold,134.6,9,171.0,5,user0040@demo.org,2021-02-08,0
C0042,2023-05-08,45,Female,Jordan,72700.0,Gold,132.75,5,163.2,3,user0041@demo.org,2023-09-17,0
C0043,2022-10-28,30,Male,Tunisia,34800.0,Silver,68.3,4,180.0,3,user0042@example.com,2023-01-16,0
C0044,2022-11-04,41,Male,Egypt,15700.0,Bronze,32.94,0,172.1,3,user0043@demo.org,2023-05-21,0
C0045,2023-08-06,39,Female,Saudi Arabia,53400.0,Gold,61.54,6,174.3,3,user0044@example.com,2023-12-04,0
C0046,2022-06-27,41,Female,Morocco,52800.0,Gold,101.81,3,154.3,3,user0045@example.com,2022-11-17,0
C0047,2022-05-21,48,Male,United States,49800.0,Silver,263.35,3,180.3,3,user0046@mail.test,2023-01-02,0
C0048,2022-11-07,41,Male,Tunisia,63900.0,Gold,366.27,3,170.9,3,user0047@demo.org,2023-06-19,0
C0049,2021-08-05,46,Female,France,25300.0,Bronze,144.05,4,162.6,3,user0048@demo.org,2022-08-14,0
C0050,2021-06-16,39,Male,United States,99900.0,Platinum,82.32,10,175.4,3,user0049@mail.test,2021-12-25,0
C0051,2023-07-13,41,Male,Egypt,26700.0,Gold,88.43,2,185.6,5,user0050@demo.org,2024-02-24,0
C0052,2021-08-25,46,Female,Algeria,59800.0,Gold,20.75,8,162.5,3,user0051@example.com,2022-05-23,0
