customer_id,signup_date,age,gender,country,annual_income,membership,monthly_spend,num_orders,height_cm,satisfaction,email,last_purchase_date,churned
C0050,2021-06-16,39,Male,US,99900,Platinum,82.32,10.0,175.4,3,user0049@mail.test,2021-12-25,0
C0585,2021-08-08,47,Female,Saudi Arabia,"39,400",Silver,65.02,4.0,162.4,4,user0584@example.com,2021-12-23,0
C0083,2021/04/16,34,Male,Jordan,41800,Bronze,310.24,7.0,171.7,3,user0082@example.com,2021-09-09,0
C0306,30/03/2021,25,M,Egypt,17100,bronze,221.7,2.0,178.2,3,user0305@example.com,2022-01-24,1
C0110,2022-05-12,18,Male,morocco ,40000,Silver,187.96,2.0,180.2,2,user0109@mail.test,2023-05-24,1
C0256,2023/12/12,47,Female,Saudi Arabia,36100,Silver,86.88,7.0,159.8,4,user0255@mail.test,2024-06-10,1
C0269,2021-03-14,39,Male,Morocco,31400,Silver,238.36,3.0,173.9,3,user0268@demo.org,2021-08-17,0
C0354,2021-04-15,48,Female,Saudi Arabia,84,Platinum,126.91,0.0,171.8,4,user0353@example.com,2021-08-04,1
C0329,26/09/2022,24,Female,Morocco,35500,Silver,110.62,2.0,162.3,3,user0328@mail.test,2023-07-22,0
C0534,2021-01-29,43,male,Saudi Arabia,54,Gold,104.59,8.0,171.0,2,user0533@demo.org,2021-07-23,0
C0282,15/12/2023,18,m ,Saudi Arabia,19500,Bronze,153.61,3.0,180.1,4,user0281@demo.org,2024-05-27,1
C0488,2022-06-14,43,MALE,United States,"43,800",Silver,273.45,6.0,179.9,3,user0487@example.com,2023-05-08,0
C0235,2022-01-04,29,Male,Saudi Arabia,20400,Bronze,70.34,3.0,167.4,4,user0234@mail.test,2022-01-19,0
C0132,2021-10-10,250,,Egypt,128700,Platinum,152.9,6.0,154.7,5,user0131@demo.org,2022-07-14,0
C0003,2021-06-14,47,female,MOROCCO,23200,Bronze,110.29,2.0,167.1,5,user0002@demo.org,2021-12-11,0
C0228,2023-03-16,61,,Jordan,63400,Gold,169.65,5.0,172.1,4,user0227@mail.test,2023-12-12,0
C0579,2023-05-24,unknown,Female,France,46500,Silver,225.22,4.0,155.8,4,user0578@demo.org,2024-03-10,0
C0427,2021-11-21,48,male,Morocco,54500,Bronze,352.24,4.0,176.9,5,user0426@demo.org,2022-05-09,0
C0185,2023-01-19,43,Female,Tunisia,30500,Silver,47.26,5.0,140.8,5,user0184@example.com,2023-06-09,0
C0399,2021-05-25,44, f ,Saudi Arabia,0,Silver,44.03,2.0,161.3,3,user0398@demo.org,2021-06-05,0
C0375,2023-07-05,45,Male,Egypt,22600,bronze,194.99,3.0,175.5,2,user0374@demo.org,2024-02-01,1
C0079,2021-03-17,-999,female,Algeria,25500,Bronze,128.41,3.0,159.8,4,user0078@demo.org,2022-02-27,1
C0248,2021-03-18,60,female,Tunisia,42900,Silver,164.5,6.0,162.9,2,user0247@mail.test,2022-03-28,0
C0056,17/10/2022,30, f ,MOROCCO,33400,Silver,284.14,4.0,158.0,2,user0055@example.com,2023-02-21,0
C0221,2021-03-19,35,Male,Algeria,92200,Platinum,118.75,10.0,178.9,4,user0220@example.com,2022-03-06,0
C0524,2022-06-18,36,Male,Saudi Arabia,67400,Gold,383.77,5.0,159.7,3,user0523@example.com,2022-07-06,1
C0249,2023-07-23,73,Female,Egypt,26800,Bronze,115.86,5.0,166.2,2,user0248@demo.org,2023-10-11,0
C0383,2021-07-25,19,F,Egypt,46200,Silver,128.65,4.0,159.3,3,user0382@mail.test,2022-06-09,1
C0500,2021-10-29,20,Male,Saudi Arabia,24100,bronze,158.52,2.0,190.7,3,user0499@mail.test,2022-04-08,0
C0553,2021/12/18,42,Male,egypt,64900,gold,69.45,8.0,177.3,4,user0552@mail.test,2022-03-29,1
C0040,2022-12-12,46,Female,Egypt,35300,Silver,89.52,3.0,163.8,4,user0039@example.com,2022-12-28,0
C0146,2023-01-11,-999,Female,Egypt,22300,Bronze,58.95,3.0,171.8,3,user0145@example.com,2023-12-02,0
C0378,08/06/2023,18,Male,MOROCCO,0,Gold,87.83,5.0,175.0,3,user0377@demo.org,2024-05-20,0
C0078,2023-11-22,40,Male,Morocco,28200,Bronze,186.85,9.0,179.2,4,user0077@demo.org,2023-12-07,0
C0119,2021-07-14,57, f ,Morocco,24400,Bronze,122.72,3.0,163.5,3,user0118@example.com,2021-10-19,0
C0401,06/02/2022,36,Female,Egypt,44500,Gold,168.11,9.0,170.6,3,user0400@example.com,2022-02-08,0
C0149,17/02/2023,51,Male,Jordan,44000,Silver,226.39,3.0,176.5,3,user0148@mail.test,2023-07-15,0
C0332,2021-06-18,46,Male,France,57600,Gold,162.88,9.0,190.3,2,user0331@mail.test,2021-11-22,0
C0133,2021-06-23,46,Female,Algeria,19200,Platinum,130.75,3.0,156.6,4,user0132@example.com,2021-12-31,0
C0216,2021-11-29,50,MALE,Morocco,26500,platinum,211.82,6.0,182.7,5,user0215@example.com,2022-03-15,0
C0573,2023/05/17,41,F,United States,18200,bronze,42.97,3.0,178.4,4,user0572@demo.org,2023-09-08,0
C0438,2022-08-29,25,F,Egypt,15100,Platinum,220.36,3.0,170.7,4,user0437@demo.org,2023-04-07,0
C0087,2022-12-22,32,,United States,34600,Silver,,4.0,164.4,3,user0086@demo.org,2023-08-24,1
C0322,06/02/2023,36,female,France,"48,900",Silver,105.5,4.0,167.2,3,user0321@demo.org,2023-10-08,0
C0337,2021-12-06,30,FEMALE,Saudi Arabia,53100,Gold,203.97,3.0,162.0,5,user0336@demo.org,2022-12-29,0
C0077,05/08/2022,33,Female,Egypt,41000,Silver,435.76,3.0,160.1,3,user0076@example.com,2023-03-04,0
C0236,2021-01-01,30,Female,France,60200,Gold,155.03,6.0,159.5,2,user0235@demo.org,2021-10-05,0
C0486,2023-06-17,36,Female,Morocco,"$35,500",Silver,39.68,7.0,160.7,4,user0485@mail.test,2023-11-19,0
C0278,2023-01-06,25,Female,MOROCCO,27100,Bronze,84.82,7.0,153.9,4,user0277@mail.test,2023-07-04,0
C0011,,49,female,Morocco,"$26,600",bronze,97.6,2.0,163.6,3,user0010@demo.org,2022-10-15,0
C0209,2022-09-09,27,MALE,United States,28800,Silver,92.42,4.0,1.76,4,user0208@demo.org,2023-03-05,0
C0466,2021-09-07,32,Female,Egypt,39200,Silver,157.49,5.0,161.3,5,user0465@mail.test,2022-07-29,0
C0394,2022-06-14,44,Female,Morocco,"$79,900",Gold,110.32,7.0,163.2,3,user0393@example.com,2022-12-25,0
C0347,2021-04-04,31,MALE,Morocco,38900,silver,158.8,5.0,187.9,4,user0346@demo.org,2022-01-26,0
C0363,2023-01-08,50,Female,Morocco,26600,Bronze,17.84,3.0,170.3,4,user0362@demo.org,2023-07-05,0
C0031,2023-01-16,64,Male, Egypt,53300,Gold,137.56,6.0,172.5,9,user0030@example.com,2024-01-04,0
C0576,14/01/2021,21,M,United States,18100,bronze,101.58,7.0,182.1,5,user0575mail.test,2021-09-20,0
C0205,2022/07/09,18,Male,Egypt,50,Silver,398.35,3.0,165.3,4,user0204@demo.org,2022-09-08,1
C0312,2021-06-06,43,Female,Tunisia,36000,Silver,58.93,3.0,157.3,3,user0311@mail.test,2021-08-29,0
C0512,2021-04-09,34,Female,Saudi arabia,44500,Silver,359.4,5.0,156.8,3,user0511@mail.test,2022-02-14,0
C0141,2023-02-13,43,Female,Morocco,69500,Gold,,4.0,155.9,3,user0140@demo.org,2023-08-31,0
C0474,2021-06-03,40,,Algeria,35800,Silver,215.05,2.0,1.65,3,user0473@example.com,2021-10-04,0
C0580,2023/02/14,42,Male,morocco ,36000,Silver,101.95,2.0,169.6,4,user0579@mail.test,2023-08-13,0
C0057,2023-05-29,35,Female,morocco ,57200,gold,502.25,5.0,151.1,2,user0056@example.com,2023-08-09,0
C0408,2023-11-11,48,Male,KSA,26000,Bronze,150.90900000000002,1.0,166.7,4,user0407@demo.org,2024-02-11,0
C0506,2022-12-01,31,Male,Tunisia,45,Silver,140.36,3.0,164.1,5,user0505@mail.test,2023-10-17,1
C0229,15/03/2021,,M,Algeria,35100,Gold,9.42,7.0,168.3,4,user0228@mail.test,2021-12-20,0
C0210,2021-03-04,-999,Female,France,22,Bronze,39.55,3.0,158.5,2,user0209@example.com,2021-07-11,1
C0025,,-999,F,Morocco,"40,900",Silver,76.1,3.0,158.6,3,user0024@mail.test,2022-02-16,0
C0479,2021-07-09,38,female,Jordan,36,Silver,261.18,4.0,152.7,3,user0478@mail.test,2021-10-11,0
C0369,31/10/2022,40,F,Morocco,55200,Gold,115.72,5.0,166.9,4,user0368@mail.test,2023-10-05,1
C0362,2022/10/09,43,F,Egypt,"42,400",Silver,148.25,3.0,163.0,3,user0361@example.com,2023-11-01,0
C0364,2021-06-10,25,M,Egypt,30200,Silver,98.07,5.0,176.1,5,user0363@demo.org,2022-06-12,0
C0469,2023-12-08,51,Male,Egypt,33000,Silver,79.57,5.0,170.8,3,user0468@demo.org,2023-12-15,0
C0071,2021-06-06,23,female,Saudi Arabia,26600,Bronze,87.1,2.0,153.3,4,user0070@demo.org,2021-11-12,0
C0353,2023-12-11,31,,Saudi Arabia,33700,Silver,335.06,3.0,166.5,4,user0352@mail.test,2024-06-14,0
C0177,2023-10-03,57,Male, Egypt,28200,bronze,544.04,5.0,163.2,3,user0176@example.com,2024-04-20,0
C0538,2021-12-16,52,M,Jordan,"47,300",Silver,258.665,8.0,178.2,5,user0537@mail.test,2022-02-06,0
C0061,2021/06/30,18,Female,Egypt,30300,Gold,406.28,4.0,166.1,2,user0060@example.com,2022-06-10,0
C0554,2021-03-20,62,Male,Morocco,30600,Silver,54.58,2.0,176.3,5,user0553@mail.test,2021-06-19,1
C0102,2023/05/06,54,F,Egypt,15800,Bronze,128.24,0.0,162.6,3,user0101@demo.org,2023-12-15,0
C0204,2023-03-01,46,Female,Algeria,N/A,silver,32.18,6.0,163.3,4,user0203@mail.test,2023-04-01,0
C0591,2023-08-30,23,Female,Saudi arabia,19800,bronze,52.37,1.0,164.6,4,user0590@demo.org,2024-08-29,1
C0091,2021/04/06,46,Female,Morocco,24200,Bronze,93.6,6.0,159.4,4,user0090@demo.org,2021-11-02,0
C0540,2021-10-08,29,Female,Morocco,20400,Bronze,94.38,2.0,161.6,3,user0539@demo.org,2022-04-26,0
C0471,2022/01/13,42,Female,Saudi Arabia,26100,Bronze,30.57,4.0,165.4,5,user0470@example.com,2022-08-27,0
C0570,2021-04-22,unknown,Male,Algeria,48100,Silver,141.33,2.0,172.3,4,user0569@demo.org,2021-06-25,0
C0030,2022-12-05,,Female,Jordan,"$19,600",Bronze,415.49,2.0,153.9,4,user0029@demo.org,2023-07-29,1
C0111,2023-03-28,43,Male,France,51200,Gold,195.66,4.0,176.4,4,user0110@mail.test,2023-10-23,0
C0510,07/04/2022,-999,Female,Tunisia,43800,Silver,70.18,9.0,168.7,4,user0509@example.com,2022-10-18,0
C0213,2021-02-12,38,Female,Tunisia,116800,Gold,473.0,3.0,160.0,3,user0212@example.com,2021-10-08,0
C0545,03/01/2022,35,Male,Morocco,31600,Silver,72.31,5.0,171.7,5,user0544@mail.test,2022-11-08,0
C0323,2021-08-25,52,F,Jordan,44600,Silver,197.09,3.0,159.1,3,user0322@demo.org,2022-01-20,0
C0290,2022/02/04,37,Female,Tunisia,65900,gold,142.88,6.0,164.3,2,user0289@demo.org,2023-02-02,0
C0530,2022-06-29,57, f ,Saudi Arabia,94600,Platinum,27.15,7.0,161.5,5,user0529@example.com,2023-06-17,0
C0463,2023-07-09,19,Female,France,22600,bronze,173.0,2.0,169.6,4,user0462@demo.org,2023-11-04,0
